account_id,customer_type,customer_age,account_age_days,risk_category,region,business_type,avg_monthly_transactions,avg_transaction_amount
NRM770487,normal,60,1225,low,North America,Retail,25,864.4913381679389
NRM216739,normal,40,1603,low,North America,Restaurant,8,800.0474078175098
NRM126225,normal,24,2050,low,North America,Retail,10,103.81595262097021
NRM877572,normal,42,1549,low,North America,Individual,16,213.0058827029372
NRM388389,normal,48,1447,low,Europe,Individual,20,1240.5795681084908
NRM356787,normal,68,3370,low,North America,Individual,29,327.60702232798883
NRM334053,normal,72,1011,low,North America,Individual,8,4716.788602855779
NRM246316,normal,35,606,low,Europe,Individual,6,3452.741829909569
NRM872246,normal,68,3368,low,North America,Individual,19,949.4868021880832
NRM207473,normal,38,2320,low,North America,Retail,10,1118.9141480541252
NRM809570,normal,25,1865,low,Africa,Retail,6,2036.2361564088908
NRM876646,normal,57,2682,low,Asia Pacific,Individual,18,1060.3160258538114
NRM671858,normal,61,3132,low,Asia Pacific,Individual,28,1848.0913007985876
NRM191161,normal,66,3477,low,North America,Individual,29,4935.745989342535
NRM719176,normal,45,1517,low,North America,Individual,15,1074.3277800351452
NRM542417,normal,29,2063,low,Asia Pacific,Retail,14,1856.4820698669357
NRM133326,normal,62,3464,low,Latin America,Retail,6,567.5095708030154
NRM131244,normal,44,2116,low,Asia Pacific,Individual,26,4447.342438624
NRM198246,normal,22,3025,low,Africa,Restaurant,9,2850.2582680905316
NRM329258,normal,35,1235,low,North America,Retail,14,2252.7488591422734
NRM343962,normal,72,1228,low,Asia Pacific,Individual,8,4547.075722237856
NRM629903,normal,44,2643,low,Europe,Retail,8,4719.982495734107
NRM731262,normal,28,2087,low,Asia Pacific,Restaurant,14,4059.789859865643
NRM127824,normal,74,3058,low,Europe,Individual,24,4473.539092600891
NRM688508,normal,32,2028,low,Latin America,Restaurant,11,4543.459363574195
NRM308496,normal,22,1765,low,Asia Pacific,Individual,17,4317.579857956083
NRM850800,normal,60,1074,low,Europe,Individual,9,3492.936561162325
NRM781453,normal,63,1048,low,North America,Individual,28,3544.7928985863714
NRM835392,normal,70,2218,low,Africa,Consulting,11,2536.5176788726885
NRM671412,normal,70,2001,low,North America,Individual,21,4885.413283579999
NRM539898,normal,49,1954,low,North America,Individual,5,1273.8532642681648
NRM331148,normal,23,1441,low,Europe,Consulting,27,3393.4641822888047
NRM571029,normal,32,3620,low,North America,Retail,28,2404.4731087855885
NRM717889,normal,55,562,low,Europe,Restaurant,20,4192.982228387265
NRM391704,normal,27,2876,low,North America,Individual,8,181.28036174649515
