alert_id,account_id,alert_type,risk_level,description,total_amount,transaction_count,time_window_hours,timestamp
STR-000001,STR143064,UNDER_THRESHOLD_DEPOSITS,critical,"Multiple deposits just under $10,000 threshold detected",1379864.5499999998,150,3.9833333333333334,2024-09-29 20:58:58
STR-000002,STR143064,UNDER_THRESHOLD_DEPOSITS,critical,"Multiple deposits just under $10,000 threshold detected",1370925.51,149,3.8833333333333333,2024-09-29 21:04:58
STR-000004,STR143064,UNDER_THRESHOLD_DEPOSITS,critical,"Multiple deposits just under $10,000 threshold detected",1353718.0,147,3.8666666666666667,2024-09-29 21:05:58
STR-000005,STR143064,UNDER_THRESHOLD_DEPOSITS,critical,"Multiple deposits just under $10,000 threshold detected",1345138.22,146,3.85,2024-09-29 21:06:58
STR-000006,STR143064,UNDER_THRESHOLD_DEPOSITS,critical,"Multiple deposits just under $10,000 threshold detected",1335297.78,145,3.816666666666667,2024-09-29 21:08:58
STR-000007,STR143064,UNDER_THRESHOLD_DEPOSITS,critical,"Multiple deposits just under $10,000 threshold detected",1326544.78,144,3.783333333333333,2024-09-29 21:10:58
STR-000008,STR143064,UNDER_THRESHOLD_DEPOSITS,critical,"Multiple deposits just under $10,000 threshold detected",1316857.3599999999,143,3.7666666666666666,2024-09-29 21:11:58
STR-000009,STR143064,UNDER_THRESHOLD_DEPOSITS,critical,"Multiple deposits just under $10,000 threshold detected",1308034.41,142,3.75,2024-09-29 21:12:58
STR-000010,STR143064,UNDER_THRESHOLD_DEPOSITS,critical,"Multiple deposits just under $10,000 threshold detected",1299251.92,141,3.7333333333333334,2024-09-29 21:13:58
STR-000011,STR143064,UNDER_THRESHOLD_DEPOSITS,critical,"Multiple deposits just under $10,000 threshold detected",1289623.1800000002,140,3.7,2024-09-29 21:15:58
STR-000013,STR143064,UNDER_THRESHOLD_DEPOSITS,critical,"Multiple deposits just under $10,000 threshold detected",1271515.49,138,3.683333333333333,2024-09-29 21:16:58
STR-000014,STR143064,UNDER_THRESHOLD_DEPOSITS,critical,"Multiple deposits just under $10,000 threshold detected",1262428.9,137,3.6333333333333333,2024-09-29 21:19:58
STR-000015,STR143064,UNDER_THRESHOLD_DEPOSITS,critical,"Multiple deposits just under $10,000 threshold detected",1253579.2000000002,136,3.6,2024-09-29 21:21:58
STR-000016,STR143064,UNDER_THRESHOLD_DEPOSITS,critical,"Multiple deposits just under $10,000 threshold detected",1244778.13,135,3.55,2024-09-29 21:24:58
STR-000017,STR143064,UNDER_THRESHOLD_DEPOSITS,critical,"Multiple deposits just under $10,000 threshold detected",1235879.36,134,3.533333333333333,2024-09-29 21:25:58
STR-000018,STR143064,UNDER_THRESHOLD_DEPOSITS,critical,"Multiple deposits just under $10,000 threshold detected",1226823.69,133,3.5,2024-09-29 21:27:58
STR-000019,STR143064,UNDER_THRESHOLD_DEPOSITS,critical,"Multiple deposits just under $10,000 threshold detected",1217904.4900000002,132,3.4833333333333334,2024-09-29 21:28:58
STR-000020,STR143064,UNDER_THRESHOLD_DEPOSITS,critical,"Multiple deposits just under $10,000 threshold detected",1208251.35,131,3.433333333333333,2024-09-29 21:31:58
STR-000022,STR143064,UNDER_THRESHOLD_DEPOSITS,critical,"Multiple deposits just under $10,000 threshold detected",1189413.25,129,3.4166666666666665,2024-09-29 21:32:58
