account_id,overall_score,risk_category,alert_score,volume_score,velocity_score,network_score,behavioral_score,alert_count,total_amount,contributing_factors
RNG824000,80.02,critical,100.0,100.0,47.67,79.71,35.33,86,10659294.33,STATISTICAL_OUTLIER (critical); HIGH_DAILY_AMOUNT (critical); HIGH_DAILY_AMOUNT (high); ACTIVITY_SPIKE (medium); MULE_PATTERN (high); HIGH_DAILY_AMOUNT (medium); ISOLATION_FOREST (medium)
RNG824002,79.25,critical,100.0,100.0,47.77,74.69,34.95,88,10531402.22,STATISTICAL_OUTLIER (critical); HIGH_DAILY_AMOUNT (critical); HIGH_DAILY_AMOUNT (high); ACTIVITY_SPIKE (medium); HIGH_DAILY_AMOUNT (medium); ACTIVITY_SPIKE (high); ISOLATION_FOREST (medium)
RNG824001,79.03,critical,100.0,100.0,43.44,78.4,35.76,92,11301241.01,STATISTICAL_OUTLIER (critical); HIGH_DAILY_AMOUNT (critical); HIGH_DAILY_AMOUNT (high); ACTIVITY_SPIKE (medium); MULE_PATTERN (high); HIGH_DAILY_AMOUNT (medium); ISOLATION_FOREST (medium)
RNG824006,78.87,critical,100.0,94.8,47.59,78.75,35.75,75,10208552.62,STATISTICAL_OUTLIER (critical); ISOLATION_FOREST (high); HIGH_DAILY_AMOUNT (critical); HIGH_DAILY_AMOUNT (high); ACTIVITY_SPIKE (medium); MULE_PATTERN (high); HIGH_DAILY_AMOUNT (medium)
RNG824038,78.14,critical,100.0,100.0,40.05,78.48,33.6,91,11239156.94,STATISTICAL_OUTLIER (critical); HIGH_DAILY_AMOUNT (critical); HIGH_DAILY_AMOUNT (high); ACTIVITY_SPIKE (medium); MULE_PATTERN (high); HIGH_DAILY_AMOUNT (medium); ISOLATION_FOREST (medium)
RNG824033,78.11,critical,100.0,95.6,47.08,76.6,30.88,81,10483914.28,STATISTICAL_OUTLIER (critical); HIGH_DAILY_AMOUNT (critical); HIGH_DAILY_AMOUNT (high); ACTIVITY_SPIKE (medium); MULE_PATTERN (high); HIGH_DAILY_AMOUNT (medium); ACTIVITY_SPIKE (high); ISOLATION_FOREST (medium)
RNG824049,77.7,critical,100.0,92.8,46.47,77.89,31.59,79,9824054.18,STATISTICAL_OUTLIER (critical); HIGH_DAILY_AMOUNT (critical); HIGH_DAILY_AMOUNT (high); ACTIVITY_SPIKE (medium); MULE_PATTERN (high); HIGH_DAILY_AMOUNT (medium); ACTIVITY_SPIKE (high); ISOLATION_FOREST (medium)
STR831059,77.27,critical,100.0,78.8,43.88,84.28,50.93,129,3107500.24,HIGH_HOURLY_FREQUENCY (critical); UNDER_THRESHOLD_DEPOSITS (medium); MANY_TO_ONE (critical); ROUND_AMOUNTS (high); STATISTICAL_OUTLIER (critical); HIGH_DAILY_AMOUNT (medium); HIGH_DAILY_AMOUNT (critical); UNDER_THRESHOLD_DEPOSITS (critical); HIGH_HOURLY_FREQUENCY (high); HIGH_DAILY_AMOUNT (high); LOCAL_OUTLIER_FACTOR (low); ISOLATION_FOREST (critical); HIGH_DAILY_FREQUENCY (critical)
STR729577,77.26,critical,100.0,79.6,44.34,83.71,49.12,135,3527130.7,HIGH_HOURLY_FREQUENCY (critical); UNDER_THRESHOLD_DEPOSITS (medium); MANY_TO_ONE (critical); ROUND_AMOUNTS (high); STATISTICAL_OUTLIER (critical); HIGH_DAILY_AMOUNT (medium); ISOLATION_FOREST (high); HIGH_DAILY_AMOUNT (critical); UNDER_THRESHOLD_DEPOSITS (critical); LOCAL_OUTLIER_FACTOR (low); ACTIVITY_SPIKE (medium); HIGH_DAILY_FREQUENCY (critical)
STR206851,77.21,critical,100.0,79.2,44.14,83.77,49.77,129,3206351.79,HIGH_HOURLY_FREQUENCY (critical); HIGH_HOURLY_FREQUENCY (medium); MANY_TO_ONE (critical); ROUND_AMOUNTS (high); STATISTICAL_OUTLIER (critical); HIGH_DAILY_AMOUNT (medium); ISOLATION_FOREST (high); HIGH_DAILY_AMOUNT (critical); UNDER_THRESHOLD_DEPOSITS (critical); HIGH_DAILY_AMOUNT (high); LOCAL_OUTLIER_FACTOR (low); ACTIVITY_SPIKE (critical); ACTIVITY_SPIKE (medium); HIGH_DAILY_FREQUENCY (critical); ACTIVITY_SPIKE (high); UNDER_THRESHOLD_DEPOSITS (high)
STR920652,77.17,critical,100.0,78.4,43.94,84.17,50.74,144,2917734.49,HIGH_HOURLY_FREQUENCY (critical); HIGH_HOURLY_FREQUENCY (medium); UNDER_THRESHOLD_DEPOSITS (medium); MANY_TO_ONE (critical); ROUND_AMOUNTS (high); STATISTICAL_OUTLIER (critical); HIGH_DAILY_AMOUNT (medium); HIGH_DAILY_AMOUNT (critical); ISOLATION_FOREST (critical); UNDER_THRESHOLD_DEPOSITS (critical); HIGH_DAILY_AMOUNT (high); LOCAL_OUTLIER_FACTOR (low); ACTIVITY_SPIKE (critical); ACTIVITY_SPIKE (medium); HIGH_DAILY_FREQUENCY (critical)
RNG824035,77.08,critical,100.0,95.2,41.7,77.11,31.3,79,10210411.03,STATISTICAL_OUTLIER (critical); HIGH_DAILY_AMOUNT (critical); HIGH_DAILY_AMOUNT (high); ACTIVITY_SPIKE (medium); MULE_PATTERN (high); HIGH_DAILY_AMOUNT (medium); ACTIVITY_SPIKE (high)
STR970917,77.03,critical,100.0,77.6,44.22,83.53,51.32,132,2816060.22,HIGH_HOURLY_FREQUENCY (critical); MANY_TO_ONE (critical); ROUND_AMOUNTS (high); STATISTICAL_OUTLIER (critical); HIGH_DAILY_AMOUNT (medium); ISOLATION_FOREST (high); HIGH_DAILY_AMOUNT (critical); UNDER_THRESHOLD_DEPOSITS (critical); HIGH_DAILY_AMOUNT (high); LOCAL_OUTLIER_FACTOR (low); HIGH_DAILY_FREQUENCY (critical); UNDER_THRESHOLD_DEPOSITS (high)
RNG824022,76.96,critical,100.0,88.0,45.81,79.17,33.19,75,9171046.01,STATISTICAL_OUTLIER (critical); HIGH_DAILY_AMOUNT (critical); HIGH_DAILY_AMOUNT (high); ACTIVITY_SPIKE (medium); MULE_PATTERN (high); HIGH_DAILY_AMOUNT (medium); ISOLATION_FOREST (medium)
STR817497,76.94,critical,100.0,78.0,43.42,84.01,50.51,134,2907334.78,HIGH_HOURLY_FREQUENCY (critical); UNDER_THRESHOLD_DEPOSITS (medium); MANY_TO_ONE (critical); ROUND_AMOUNTS (high); STATISTICAL_OUTLIER (critical); HIGH_DAILY_AMOUNT (medium); HIGH_DAILY_FREQUENCY (high); HIGH_DAILY_AMOUNT (critical); UNDER_THRESHOLD_DEPOSITS (critical); LOCAL_OUTLIER_FACTOR (low); ISOLATION_FOREST (critical); HIGH_DAILY_FREQUENCY (critical); UNDER_THRESHOLD_DEPOSITS (high)
RNG824034,76.81,critical,100.0,94.0,39.62,79.0,32.33,79,10156432.79,STATISTICAL_OUTLIER (critical); HIGH_DAILY_AMOUNT (critical); HIGH_DAILY_AMOUNT (high); ACTIVITY_SPIKE (medium); MULE_PATTERN (high); HIGH_DAILY_AMOUNT (medium); ISOLATION_FOREST (medium)
STR354646,76.74,critical,100.0,76.0,43.84,84.42,51.13,122,2752598.41,HIGH_HOURLY_FREQUENCY (critical); MANY_TO_ONE (critical); ROUND_AMOUNTS (high); STATISTICAL_OUTLIER (critical); HIGH_DAILY_AMOUNT (medium); ISOLATION_FOREST (high); HIGH_DAILY_AMOUNT (critical); UNDER_THRESHOLD_DEPOSITS (critical); HIGH_HOURLY_FREQUENCY (high); HIGH_DAILY_AMOUNT (high); LOCAL_OUTLIER_FACTOR (low); HIGH_DAILY_FREQUENCY (critical); UNDER_THRESHOLD_DEPOSITS (high)
STR658623,76.63,critical,100.0,76.4,43.5,84.41,49.87,119,2790810.07,HIGH_HOURLY_FREQUENCY (critical); MANY_TO_ONE (critical); ROUND_AMOUNTS (high); STATISTICAL_OUTLIER (critical); HIGH_DAILY_AMOUNT (medium); ISOLATION_FOREST (high); HIGH_DAILY_AMOUNT (critical); UNDER_THRESHOLD_DEPOSITS (critical); HIGH_DAILY_AMOUNT (high); LOCAL_OUTLIER_FACTOR (low); HIGH_DAILY_FREQUENCY (critical); UNDER_THRESHOLD_DEPOSITS (high)
RNG824019,76.44,critical,100.0,94.4,37.62,79.0,31.86,91,10169220.73,STATISTICAL_OUTLIER (critical); HIGH_DAILY_AMOUNT (critical); HIGH_DAILY_AMOUNT (high); ACTIVITY_SPIKE (medium); MULE_PATTERN (high); HIGH_DAILY_AMOUNT (medium); ISOLATION_FOREST (medium)
STR143064,76.35,critical,100.0,74.8,44.0,84.26,49.53,148,2528333.73,HIGH_HOURLY_FREQUENCY (critical); UNDER_THRESHOLD_DEPOSITS (medium); MANY_TO_ONE (critical); ROUND_AMOUNTS (high); STATISTICAL_OUTLIER (critical); HIGH_DAILY_AMOUNT (medium); ISOLATION_FOREST (high); HIGH_DAILY_AMOUNT (critical); UNDER_THRESHOLD_DEPOSITS (critical); HIGH_DAILY_AMOUNT (high); LOCAL_OUTLIER_FACTOR (low); ACTIVITY_SPIKE (critical); HIGH_DAILY_FREQUENCY (critical); UNDER_THRESHOLD_DEPOSITS (high)
