tx_id,timestamp,sender_id,receiver_id,amount,tx_type,country,channel,pattern_type
TX7ZSBAF292V,2024-01-01 00:01:22,NRM395442,NRM428914,1529.28,e-transfer,Canada,mobile,normal
TXH7BUQILUVG,2024-01-01 00:28:30,NRM314181,NRM451470,111.52,ACH,Canada,online,normal
TX583GQVBIG5,2024-01-01 00:31:30,NRM903035,NRM820892,204.95,e-transfer,UK,ATM,normal
TX6GJ9QSTW5U,2024-01-01 01:07:23,RNG824006,RNG824007,39787.66,ACH,Canada,online,fraud_ring
TXLQ9ADX87N6,2024-01-01 01:19:31,NRM174870,NRM320861,1810.59,ACH,Japan,ATM,normal
TXFHJ7Q1URYN,2024-01-01 01:35:30,NRM989921,STR416232,106601.25,wire,Singapore,online,layering
TXNV1R097LW6,2024-01-01 01:49:54,HRK303880,HRK534572,351.08,e-transfer,UAE,ATM,normal
TXD85QCQ4XEZ,2024-01-01 02:35:30,STR416232,NRM645175,104469.22,wire,Germany,online,layering
TXVLJUUPWIAT,2024-01-01 02:42:01,HRK331251,NRM858490,370.77,e-transfer,USA,online,normal
TXJ13Q1JNPNZ,2024-01-01 03:23:22,NRM465962,NRM792094,184.67,wire,Germany,online,normal
TXHFU9POT7U4,2024-01-01 03:41:24,NRM759176,NRM287241,743.86,cash,USA,mobile,normal
TXIFGUOQG0SR,2024-01-01 03:52:23,NRM692683,NRM163918,536.0,wire,USA,mobile,normal
TXT1JKBSFDFJ,2024-01-01 03:55:20,RNG824003,RNG824004,133584.8,ACH,Cayman Islands,online,fraud_ring
TXW80UXN3E6O,2024-01-01 04:35:50,NRM163918,MUL665621,846.49,check,USA,online,normal
TX7M5C6REAGU,2024-01-01 04:48:05,NRM390120,NRM717889,404.88,e-transfer,UK,mobile,normal
TX1ZJ396YFI7,2024-01-01 05:01:30,NRM987204,NRM777568,1901.83,ACH,China,branch,normal
TX0SARVQXNJG,2024-01-01 05:02:42,NRM945742,HRK266889,766.49,e-transfer,Canada,online,normal
TXIV0Z5ZPXEG,2024-01-01 05:04:58,NRM808446,NRM550770,133.09,cash,Cayman Islands,mobile,normal
TX660NFFRTXS,2024-01-01 05:40:46,NRM877572,NRM984642,109.92,e-transfer,UK,ATM,normal
TXX4DH0V22QC,2024-01-01 06:01:53,NRM733052,NRM178898,483.68,ACH,Canada,online,normal
TXVCTJ1444U5,2024-01-01 06:05:59,RNG824029,RNG824030,47989.17,wire,USA,online,fraud_ring
TXI5GHXCX8G4,2024-01-01 06:24:44,NRM680097,NRM656926,5184.6,wire,Germany,online,normal
TXP8UUHNYKYF,2024-01-01 06:25:03,NRM120422,MUL959099,575.87,cash,UK,online,normal
TXOKGK8MYDL0,2024-01-01 07:06:00,HRK535020,NRM783823,93.56,e-transfer,China,online,normal
TXX5WET5DOF4,2024-01-01 07:35:30,NRM645175,NRM684004,102337.2,wire,Japan,online,layering
TXNB4RB042OG,2024-01-01 07:48:42,NRM674553,NRM411120,1159.15,e-transfer,UK,mobile,normal
TX1FGSH5CWHY,2024-01-01 07:49:48,NRM884475,NRM958179,1223.25,wire,France,ATM,normal
TXEEFTB3XO79,2024-01-01 07:51:40,RNG824037,RNG824038,125310.34,wire,USA,online,fraud_ring
TXBCIFL79R9K,2024-01-01 07:56:13,NRM482364,HRK943170,4416.71,wire,Germany,mobile,normal
TXKF3Z16P17X,2024-01-01 07:58:25,NRM736130,NRM697347,2525.21,e-transfer,Japan,branch,normal
