alert_id,account_id,alert_type,risk_level,description,metric_value,threshold_value,baseline_value,time_period,timestamp
VEL-000001,STR920652,HIGH_DAILY_FREQUENCY,critical,High daily transaction volume: 61 transactions (limit: 15),61.0,15.0,5.78125,daily,2024-07-11 00:00:00
VEL-000002,STR920652,HIGH_DAILY_FREQUENCY,critical,High daily transaction volume: 89 transactions (limit: 15),89.0,15.0,5.78125,daily,2024-07-12 00:00:00
VEL-000003,STR920652,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 34 transactions in one hour,34.0,5.0,4.625,hourly,2024-07-11 22:00:00
VEL-000004,STR920652,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 27 transactions in one hour,27.0,5.0,4.625,hourly,2024-07-11 23:00:00
VEL-000005,STR920652,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 40 transactions in one hour,40.0,5.0,4.625,hourly,2024-07-12 00:00:00
VEL-000006,STR920652,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 39 transactions in one hour,39.0,5.0,4.625,hourly,2024-07-12 01:00:00
VEL-000007,STR920652,HIGH_HOURLY_FREQUENCY,medium,High hourly transaction volume: 10 transactions in one hour,10.0,5.0,4.625,hourly,2024-07-12 02:00:00
VEL-000008,STR354646,HIGH_DAILY_FREQUENCY,critical,High daily transaction volume: 150 transactions (limit: 15),150.0,15.0,7.16,daily,2024-06-14 00:00:00
VEL-000009,STR354646,HIGH_HOURLY_FREQUENCY,high,High hourly transaction volume: 11 transactions in one hour,11.0,5.0,5.264705882352941,hourly,2024-06-14 01:00:00
VEL-000010,STR354646,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 36 transactions in one hour,36.0,5.0,5.264705882352941,hourly,2024-06-14 02:00:00
VEL-000011,STR354646,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 40 transactions in one hour,40.0,5.0,5.264705882352941,hourly,2024-06-14 03:00:00
VEL-000012,STR354646,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 36 transactions in one hour,36.0,5.0,5.264705882352941,hourly,2024-06-14 04:00:00
VEL-000013,STR354646,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 27 transactions in one hour,27.0,5.0,5.264705882352941,hourly,2024-06-14 05:00:00
VEL-000014,STR143064,HIGH_DAILY_FREQUENCY,critical,High daily transaction volume: 108 transactions (limit: 15),108.0,15.0,5.4411764705882355,daily,2024-09-29 00:00:00
VEL-000015,STR143064,HIGH_DAILY_FREQUENCY,critical,High daily transaction volume: 42 transactions (limit: 15),42.0,15.0,5.4411764705882355,daily,2024-09-30 00:00:00
VEL-000016,STR143064,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 35 transactions in one hour,35.0,5.0,4.625,hourly,2024-09-29 21:00:00
VEL-000017,STR143064,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 31 transactions in one hour,31.0,5.0,4.625,hourly,2024-09-29 22:00:00
VEL-000018,STR143064,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 41 transactions in one hour,41.0,5.0,4.625,hourly,2024-09-29 23:00:00
VEL-000019,STR143064,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 42 transactions in one hour,42.0,5.0,4.625,hourly,2024-09-30 00:00:00
VEL-000020,STR226935,HIGH_DAILY_FREQUENCY,critical,High daily transaction volume: 150 transactions (limit: 15),150.0,15.0,7.291666666666667,daily,2024-03-12 00:00:00
VEL-000021,STR226935,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 18 transactions in one hour,18.0,5.0,5.833333333333333,hourly,2024-03-12 08:00:00
VEL-000022,STR226935,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 28 transactions in one hour,28.0,5.0,5.833333333333333,hourly,2024-03-12 09:00:00
VEL-000023,STR226935,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 39 transactions in one hour,39.0,5.0,5.833333333333333,hourly,2024-03-12 10:00:00
VEL-000024,STR226935,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 42 transactions in one hour,42.0,5.0,5.833333333333333,hourly,2024-03-12 11:00:00
VEL-000025,STR226935,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 23 transactions in one hour,23.0,5.0,5.833333333333333,hourly,2024-03-12 12:00:00
VEL-000026,STR970917,HIGH_DAILY_FREQUENCY,critical,High daily transaction volume: 150 transactions (limit: 15),150.0,15.0,7.12,daily,2024-05-30 00:00:00
VEL-000027,STR970917,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 39 transactions in one hour,39.0,5.0,5.393939393939394,hourly,2024-05-30 06:00:00
VEL-000028,STR970917,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 35 transactions in one hour,35.0,5.0,5.393939393939394,hourly,2024-05-30 07:00:00
VEL-000029,STR970917,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 39 transactions in one hour,39.0,5.0,5.393939393939394,hourly,2024-05-30 08:00:00
VEL-000030,STR970917,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 32 transactions in one hour,32.0,5.0,5.393939393939394,hourly,2024-05-30 09:00:00
VEL-000031,STR757711,HIGH_DAILY_FREQUENCY,critical,High daily transaction volume: 150 transactions (limit: 15),150.0,15.0,7.565217391304348,daily,2024-01-04 00:00:00
VEL-000032,STR757711,HIGH_HOURLY_FREQUENCY,high,High hourly transaction volume: 14 transactions in one hour,14.0,5.0,6.0,hourly,2024-01-04 19:00:00
VEL-000033,STR757711,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 41 transactions in one hour,41.0,5.0,6.0,hourly,2024-01-04 20:00:00
VEL-000034,STR757711,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 31 transactions in one hour,31.0,5.0,6.0,hourly,2024-01-04 21:00:00
VEL-000035,STR757711,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 42 transactions in one hour,42.0,5.0,6.0,hourly,2024-01-04 22:00:00
VEL-000036,STR757711,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 22 transactions in one hour,22.0,5.0,6.0,hourly,2024-01-04 23:00:00
VEL-000037,STR793655,HIGH_DAILY_FREQUENCY,critical,High daily transaction volume: 150 transactions (limit: 15),150.0,15.0,9.38888888888889,daily,2024-11-25 00:00:00
VEL-000038,STR793655,HIGH_HOURLY_FREQUENCY,high,High hourly transaction volume: 15 transactions in one hour,15.0,5.0,7.041666666666667,hourly,2024-11-25 01:00:00
VEL-000039,STR793655,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 41 transactions in one hour,41.0,5.0,7.041666666666667,hourly,2024-11-25 02:00:00
VEL-000040,STR793655,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 31 transactions in one hour,31.0,5.0,7.041666666666667,hourly,2024-11-25 03:00:00
VEL-000041,STR793655,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 38 transactions in one hour,38.0,5.0,7.041666666666667,hourly,2024-11-25 04:00:00
VEL-000042,STR793655,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 25 transactions in one hour,25.0,5.0,7.041666666666667,hourly,2024-11-25 05:00:00
VEL-000043,STR934904,HIGH_DAILY_FREQUENCY,critical,High daily transaction volume: 150 transactions (limit: 15),150.0,15.0,7.909090909090909,daily,2024-11-02 00:00:00
VEL-000044,STR934904,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 21 transactions in one hour,21.0,5.0,6.214285714285714,hourly,2024-11-02 10:00:00
VEL-000045,STR934904,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 36 transactions in one hour,36.0,5.0,6.214285714285714,hourly,2024-11-02 11:00:00
VEL-000046,STR934904,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 35 transactions in one hour,35.0,5.0,6.214285714285714,hourly,2024-11-02 12:00:00
VEL-000047,STR934904,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 40 transactions in one hour,40.0,5.0,6.214285714285714,hourly,2024-11-02 13:00:00
VEL-000048,STR934904,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 18 transactions in one hour,18.0,5.0,6.214285714285714,hourly,2024-11-02 14:00:00
VEL-000049,STR549186,HIGH_DAILY_FREQUENCY,critical,High daily transaction volume: 150 transactions (limit: 15),150.0,15.0,6.464285714285714,daily,2024-11-03 00:00:00
VEL-000050,STR549186,HIGH_HOURLY_FREQUENCY,medium,High hourly transaction volume: 8 transactions in one hour,8.0,5.0,5.171428571428572,hourly,2024-11-03 09:00:00
VEL-000051,STR549186,HIGH_HOURLY_FREQUENCY,critical,High hourly transaction volume: 46 transactions in one hour,46.0,5.0,5.171428571428572,hourly,2024-11-03 10:00:00
